1130_4_led.csv
x,y,z,st_x,st_y,st_z,r,p,y,ori,ms,dpth,t
1.02389,1.73987,0.561366,0,0,0,-0.0119035,-0.0931418,-2.47291,2.47423,0.0110478,2.41355,7.96693,
1.00731,1.72078,0.557824,0,0,0,-0.022031,-0.0997135,-2.50711,2.50907,0.0147586,2.41813,7.98982,
1.03522,1.7524,0.564267,0,0,0,-0.0115406,-0.0784539,-2.46473,2.46574,0.0116594,2.41986,8.00529,
1.02765,1.74636,0.563594,0,0,0,-0.0166633,-0.0598536,-2.4468,2.44765,0.00983739,2.42264,8.01796,
1.00864,1.72661,0.558878,0,0,0,-0.0174488,-0.112541,-2.4741,2.4762,0.0210576,2.42787,8.04706,
1.04636,1.75079,0.567631,0,0,0,-0.0217982,-0.0559331,-2.58391,2.58478,0.0105252,2.42787,8.0597,
1.03922,1.74241,0.564516,0,0,0,-0.0273101,-0.0700211,-2.59071,2.59206,0.00936818,2.43239,8.07245,
1.01965,1.73675,0.561226,0,0,0,-0.0187386,-0.0901612,-2.47337,2.47495,0.00960445,2.43406,8.08459,
1.02502,1.74279,0.56231,0,0,0,-0.017194,-0.088846,-2.46389,2.46538,0.0104539,2.43573,8.10147,
1.03021,1.74849,0.563822,0,0,0,-0.0201741,-0.0851286,-2.46575,2.46728,0.00992942,2.44027,8.11744,
1.02888,1.74539,0.56272,0,0,0,-0.0179286,-0.0875789,-2.47391,2.47539,0.0107181,2.44254,8.13523,
1.03034,1.74837,0.563763,0,0,0,-0.0202742,-0.0852265,-2.46581,2.46735,0.0162766,2.44732,8.15887,
0.997375,1.72709,0.560916,0,0,0,-0.0180941,-0.0593211,-2.37326,2.37418,0.00895762,2.44732,8.16997,
0.998904,1.72971,0.563712,0,0,0,-0.0165831,-0.00862282,-2.34823,2.34834,0.00934386,2.45052,8.18456,
1.02364,1.75783,0.564214,0,0,0,-0.00663003,-0.0849238,-2.31404,2.31512,0.0113299,2.45536,8.20426,
0.998934,1.7324,0.56324,0,0,0,-0.0139646,-0.0168197,-2.33076,2.33093,0.0168924,2.45931,8.2268,
1.00463,1.74124,0.561344,0,0,0,-0.00865748,-0.0659819,-2.28674,2.28753,0.00884128,2.46011,8.23757,
0.991357,1.73474,0.566188,0,0,0,-0.00616635,0.0307504,-2.22692,2.22695,0.00969028,2.46011,8.25075,
1.06202,1.77935,0.571521,0,0,0,-0.0162054,-0.0275552,-2.45138,2.4517,0.00883675,2.46345,8.26765,
1.03757,1.75561,0.565334,0,0,0,-0.0105856,-0.0776115,-2.44973,2.4507,0.011718,2.468,8.28626,
1.0646,1.7695,0.572377,0,0,0,-0.0257629,-0.0151545,-2.56524,2.5655,0.0170569,2.4733,8.31005,
1.10313,1.8099,0.578538,0,0,0,-0.0129256,-0.030534,-2.52909,2.52937,0.0152488,2.47701,8.33089,
1.06293,1.76537,0.570312,0,0,0,-0.0170587,-0.0595784,-2.59874,2.59952,0.0103397,2.47701,8.34328,
1.06981,1.78876,0.571608,0,0,0,-0.00989175,-0.0519184,-2.41964,2.42016,0.00895286,2.48218,8.3554,
1.06633,1.78563,0.571762,0,0,0,-0.00945215,-0.0444585,-2.41712,2.41753,0.00909162,2.48218,8.3672,
1.04272,1.77071,0.567499,0,0,0,0.00275551,-0.064582,-2.35352,2.35386,0.0135729,2.48632,8.38782,
1.0771,1.79191,0.573574,0,0,0,-0.00674924,-0.0381663,-2.45231,2.45258,0.0105343,2.48632,8.40229,
1.07395,1.79012,0.572024,0,0,0,-0.00943058,-0.0496046,-2.44074,2.4412,0.00972748,2.48632,8.4165,
1.06643,1.7832,0.573288,0,0,0,-0.0106497,-0.0300981,-2.44669,2.44694,0.017498,2.49875,8.44324,
1.07147,1.78221,0.573501,0,0,0,-0.0153362,-0.0214141,-2.49303,2.49325,0.00885868,2.49912,8.45548,
1.0639,1.77359,0.572469,0,0,0,-0.0170983,-0.016773,-2.50296,2.50315,0.013283,2.49912,8.47338,
1.05768,1.75189,0.573753,0,0,0,-0.0203602,0.0197562,-2.65667,2.65652,0.0151436,2.50589,8.49356,
1.06516,1.77278,0.572661,0,0,0,-0.0199372,-0.0350881,-2.52573,2.5262,0.00939918,2.5084,8.50597,
1.05604,1.76259,0.572241,0,0,0,-0.0289381,0.00593504,-2.53448,2.53446,0.0117576,2.51146,8.5202,
1.05207,1.75766,0.562858,0,0,0,-0.0323596,-0.1254,-2.5353,2.53864,0.0137072,2.51467,8.54011,
1.048,1.7534,0.569958,0,0,0,-0.0144197,-0.0320363,-2.54961,2.54994,0.0146511,2.51583,8.5583,
1.08399,1.79148,0.570672,0,0,0,-0.00318138,-0.0595857,-2.50006,2.50045,0.0148416,2.51882,8.57831,
1.10547,1.81369,0.5751,0,0,0,-0.0080979,-0.0561218,-2.4657,2.4662,0.0111988,2.52368,8.59235,
1.05903,1.76343,0.571895,0,0,0,-0.0169841,0.0128273,-2.53208,2.532,0.0115087,2.52368,8.60735,
1.0896,1.79324,0.574148,0,0,0,-0.0301075,0.00593328,-2.50632,2.5063,0.0295141,2.53684,8.67057,
1.11244,1.8167,0.577246,0,0,0,-0.0237359,-0.00781006,-2.48783,2.48797,0.0082531,2.5431,8.68328,
1.11559,1.81971,0.576528,0,0,0,-0.0150546,-0.0311246,-2.47621,2.47655,0.00798941,2.54435,8.70093,
1.10139,1.80104,0.566834,0,0,0,-0.0357864,-0.0961161,-2.52271,2.52527,0.0175178,2.55068,8.72915,
1.1408,1.84154,0.572962,0,0,0,-0.0232316,-0.0888531,-2.47747,2.47923,0.00975657,2.55188,8.74207,
1.13035,1.83265,0.575962,0,0,0,-0.0102048,-0.0307663,-2.46612,2.46637,0.0093863,2.5555,8.75354,
1.13589,1.84141,0.574245,0,0,0,-0.00566995,-0.0538371,-2.41607,2.41651,0.0177004,2.55979,8.77943,
1.12163,1.82438,0.575559,0,0,0,-0.019415,0.00138394,-2.43997,2.43999,0.00823236,2.55979,8.79011,
1.11178,1.81569,0.57619,0,0,0,-0.00705536,0.0107709,-2.42897,2.42895,0.00778055,2.55979,8.80059,
1.09296,1.79965,0.56612,0,0,0,-0.00427066,-0.0727278,-2.41434,2.415,0.0115895,2.55979,8.82179,
1.09113,1.80241,0.5653,0,0,0,-0.0134478,-0.0720532,-2.36848,2.36951,0.0139401,2.55979,8.84256,
1.121,1.80857,0.572419,0,0,0,-0.0252957,-0.0172448,-2.58169,2.58198,0.018384,2.55979,8.86559,
1.13837,1.83011,0.574769,0,0,0,-0.0198434,-0.0172645,-2.5122,2.51242,0.0088923,2.55979,8.87644,
1.11778,1.79419,0.568893,0,0,0,-0.0369862,-0.0374588,-2.66197,2.66283,0.00967979,2.55979,8.88921,
1.14552,1.83599,0.576593,0,0,0,-0.0323767,0.0117219,-2.4791,2.47901,0.00933456,2.55979,8.90298,
1.13153,1.81823,0.572087,0,0,0,-0.039374,-0.0158281,-2.51291,2.51337,0.018182,2.57122,8.93176,
1.12749,1.81468,0.572288,0,0,0,-0.0363739,-0.00689009,-2.49699,2.49723,0.00937128,2.58974,8.94431,
1.15232,1.84184,0.579418,0,0,0,-0.0122085,0.0419035,-2.43651,2.43643,0.00899625,2.5907,8.95539,
1.14801,1.83119,0.58048,0,0,0,-0.0211231,0.0869209,-2.49812,2.49787,0.0133703,2.59177,8.97701,
1.14426,1.82472,0.579279,0,0,0,-0.0250727,0.0694492,-2.54478,2.54433,0.00857925,2.59571,8.98887,
1.13328,1.80761,0.573832,0,0,0,-0.0471002,0.0507306,-2.57592,2.57507,0.0156472,2.59998,9.01224,
1.13689,1.81986,0.573594,0,0,0,-0.0267731,0.0199546,-2.46866,2.46849,0.0157793,2.59998,9.03077,
1.20395,1.87577,0.580062,0,0,0,-0.0273912,0.0051463,-2.49399,2.49399,0.00838828,2.60393,9.04098,
1.1652,1.8468,0.571459,0,0,0,-0.0167291,-0.039534,-2.41344,2.41395,0.00939798,2.60642,9.05444,
1.17455,1.85105,0.573151,0,0,0,-0.0209091,-0.0366946,-2.43695,2.4375,0.0158513,2.60743,9.0792,
1.15361,1.82556,0.570765,0,0,0,-0.0383458,-0.0230188,-2.498,2.49861,0.0190392,2.61366,9.10347,
1.15682,1.82117,0.573332,0,0,0,-0.0409224,0.0436872,-2.5489,2.54828,0.0120773,2.61448,9.11779,
1.16384,1.82852,0.569158,0,0,0,-0.0390599,-0.0225306,-2.50375,2.50436,0.0100403,2.61448,9.13119,
1.15888,1.82744,0.573703,0,0,0,-0.0381153,0.0566659,-2.45776,2.4571,0.00903368,2.61767,9.14251,
1.10833,1.78431,0.566466,0,0,0,-0.0387281,0.0447022,-2.3976,2.39708,0.00905347,2.61931,9.15642,
1.20452,1.86287,0.578746,0,0,0,-0.0475204,0.0457843,-2.48405,2.48334,0.00790977,2.62152,9.17023,
1.14255,1.81788,0.569421,0,0,0,-0.0314133,0.0316621,-2.34509,2.3448,0.0097425,2.62152,9.18937,
1.20214,1.84146,0.577695,0,0,0,-0.12597,0.116604,-2.73998,2.73414,0.0115893,2.62609,9.20702,
1.16972,1.81911,0.576447,0,0,0,-0.0395318,0.0880154,-2.54952,2.54849,0.0178852,2.63025,9.23199,
1.12644,1.79251,0.568487,0,0,0,-0.0236483,0.06547,-2.35885,2.35858,0.00983524,2.63081,9.24602,
1.17888,1.82639,0.573362,0,0,0,-0.048788,0.0564955,-2.50684,2.50592,0.0107541,2.6315,9.26021,
1.12471,1.78172,0.558688,0,0,0,0.0236641,-0.126563,-2.35039,2.35062,0.0224645,2.63502,9.28592,
1.19887,1.84031,0.5773,0,0,0,-0.0322885,0.0693392,-2.4828,2.48218,0.00897574,2.63607,9.29817,
1.16788,1.82674,0.579366,0,0,0,-0.00519395,0.142487,-2.29615,2.29806,0.00921845,2.63706,9.30945,
1.2098,1.84418,0.577584,0,0,0,-0.0481523,0.0835934,-2.49314,2.49191,0.00820446,2.6378,9.32123,
1.22585,1.86616,0.579205,0,0,0,-0.0264419,0.0583466,-2.41404,2.41365,0.00827646,2.6378,9.33871,
1.11342,1.76052,0.562406,0,0,0,-0.0284621,0.0680245,-2.35982,2.35941,0.0078826,2.64093,9.35368,
1.25435,1.86821,0.583641,0,0,0,-0.0987193,0.152125,-2.63887,2.63347,0.00896978,2.64258,9.3733,
1.2324,1.83699,0.574338,0,0,0,-0.118803,0.0955778,-2.7489,2.74438,0.00871444,2.64258,9.38835,
1.25378,1.8748,0.575641,0,0,0,-0.0293593,-0.0184282,-2.44171,2.44209,0.00863218,2.64472,9.40533,
1.19872,1.81699,0.571262,0,0,0,-0.042343,0.0411132,-2.48007,2.4795,0.00809884,2.64629,9.42199,
1.209,1.82875,0.564636,0,0,0,-0.0340127,-0.0693466,-2.43105,2.43278,0.0114415,2.64716,9.44479,
1.16216,1.78861,0.560711,0,0,0,-0.0376519,-0.000580609,-2.34166,2.34182,0.00915194,2.64796,9.45879,
1.18809,1.80896,0.56242,0,0,0,-0.0175719,-0.063392,-2.34339,2.34441,0.00928259,2.64896,9.47396,
1.20894,1.80475,0.565963,0,0,0,-0.0358541,-0.0137097,-2.54636,2.54672,0.0121849,2.64961,9.49561,
