0212_led.csv
x,y,z,st_x,st_y,st_z,r,p,y,ori,ms,dpth,t
1.43543,1.79406,0.733644,1.00789,1.79613,0.667321,-0.240595,0.325551,2.57442,2.625,0.00945449,1.33493,21.7972,
1.38741,1.82533,0.725824,0.973822,1.82023,0.667287,-0.247067,0.337817,2.57144,2.62541,0.012949,1.33637,21.8141,
1.25195,1.91781,0.710813,0.881208,1.87887,0.667483,-0.251541,0.340097,2.61067,2.665,0.0293324,1.33895,21.8765,
1.26291,1.95475,0.729085,0.849438,1.89678,0.667391,-0.258769,0.335158,2.69135,2.74442,0.00961518,1.33935,21.8995,
1.16629,2.03466,0.723527,0.752828,1.94772,0.667532,-0.251008,0.292952,2.76414,2.80766,0.0301678,1.34235,21.9696,
1.12529,2.05865,0.721055,0.719642,1.96277,0.667245,-0.255981,0.329152,2.76906,2.81891,0.00882506,1.3425,21.9849,
1.09562,2.06643,0.723948,0.686218,1.97732,0.667033,-0.256521,0.27434,2.77208,2.81353,0.00934672,1.34242,21.9968,
1.06968,2.09023,0.724523,0.652583,1.9918,0.666671,-0.254539,0.307945,2.79623,2.84199,0.0129356,1.34317,22.0165,
1.00032,2.12466,0.720602,0.618915,2.00545,0.666604,-0.261366,0.337177,2.8199,2.87086,0.0215459,1.34341,22.0417,
0.977035,2.13431,0.720343,0.584652,2.01769,0.667037,-0.256283,0.330505,2.81183,2.861,0.00966406,1.3438,22.0541,
0.97923,2.14618,0.722631,0.584652,2.01769,0.667037,-0.264503,0.33219,2.84793,2.89806,0.00918651,1.34397,22.0657,
0.957694,2.17091,0.728738,0.560504,2.02586,0.667252,-0.248166,0.347168,2.89641,2.94467,0.00988054,1.34387,22.0803,
0.890583,2.18409,0.725112,0.515487,2.0409,0.666771,-0.252971,0.344683,2.87808,2.92728,0.0117588,1.34425,22.1001,
0.897153,2.199,0.724326,0.480706,2.05157,0.665927,-0.249131,0.299727,2.92082,2.96206,0.0150421,1.34432,22.1182,
0.845196,2.21371,0.728676,0.445552,2.06152,0.665418,-0.251598,0.343068,2.9179,2.96572,0.0108738,1.34422,22.1322,
0.853477,2.22642,0.731446,0.445552,2.06152,0.665418,-0.242076,0.363029,2.95745,3.00536,0.0100517,1.3451,22.1468,
0.781573,2.23919,0.7279,0.410116,2.07059,0.66519,-0.24591,0.328387,2.94899,2.99308,0.0118253,1.34532,22.1663,
0.726442,2.25183,0.727614,0.374595,2.07894,0.665161,-0.263527,0.33426,2.96212,3.00983,0.0137608,1.34688,22.1836,
0.712689,2.27275,0.727094,0.344049,2.08517,0.664735,-0.254288,0.324112,3.00737,3.0511,0.0128293,1.34693,22.1994,
0.685213,2.27759,0.723638,0.302482,2.09302,0.664435,-0.253597,0.308367,3.00287,3.04443,0.0108941,1.3468,22.2148,
0.633998,2.28809,0.719121,0.260757,2.09948,0.664537,-0.251927,0.349686,3.00112,3.04804,0.011111,1.34584,22.2303,
0.629232,2.30091,0.73746,0.260757,2.09948,0.664537,-0.244682,0.385295,3.04079,3.0901,0.00913286,1.34572,22.2463,
0.592817,2.31357,0.733166,0.229939,2.10375,0.664299,-0.259909,0.370232,3.08204,3.13124,0.0095365,1.34587,22.2631,
0.513462,2.31147,0.715199,0.188552,2.1098,0.663506,-0.257787,0.298357,3.04897,3.08895,0.011986,1.3455,22.283,
0.475321,2.33403,0.723522,0.157823,2.11325,0.663278,-0.254508,0.308608,3.11555,3.12811,0.0179954,1.34543,22.3079,
0.443466,2.33282,0.720762,0.121424,2.11603,0.663446,-0.259593,0.331967,3.09147,3.13534,0.011229,1.34539,22.3221,
0.43454,2.32863,0.718948,0.0795368,2.11873,0.66339,-0.262785,0.329044,3.07775,3.12206,0.010428,1.35081,22.3356,
0.400393,2.35744,0.730191,0.0795368,2.11873,0.66339,-0.253137,0.344905,-3.14062,3.09732,0.00964475,1.34477,22.3479,
0.377741,2.35338,0.726367,0.0430103,2.12034,0.662362,-0.254237,0.326048,3.13616,3.10575,0.011008,1.34433,22.3659,
0.337019,2.36276,0.725159,0.0118625,2.12123,0.661513,-0.253889,0.28098,-3.11333,3.07837,0.0148227,1.34391,22.3862,
0.286454,2.36589,0.726796,-0.0249585,2.12165,0.661143,-0.254165,0.345687,-3.10798,3.06515,0.0140855,1.3436,22.4038,
0.256045,2.37557,0.726879,-0.056088,2.12106,0.660921,-0.253105,0.296381,-3.08126,3.04512,0.015847,1.34374,22.424,
0.213779,2.36607,0.722289,-0.0980129,2.11936,0.660754,-0.239635,0.299075,-3.07009,3.03577,0.00967479,1.34392,22.4363,
0.182863,2.37942,0.731438,-0.0980129,2.11936,0.660754,-0.235919,0.359241,-3.04411,3.00428,0.00990415,1.34365,22.4495,
0.165886,2.38327,0.726228,-0.13456,2.11718,0.659793,-0.238818,0.347637,-3.01633,2.97787,0.0091753,1.34282,22.4628,
0.12409,2.39138,0.736092,-0.171083,2.11372,0.65917,-0.229255,0.361824,-2.96755,2.93034,0.00994277,1.34162,22.4806,
0.0822756,2.38519,0.728883,-0.207432,2.10944,0.658811,-0.232837,0.324123,-2.9744,2.9402,0.0102341,1.34135,22.5006,
0.0340398,2.38352,0.728734,-0.243636,2.10492,0.658717,-0.238218,0.319853,-2.9553,2.92111,0.0135696,1.34073,22.5202,
0.0123836,2.38393,0.731189,-0.284818,2.09841,0.65858,-0.241687,0.330547,-2.95038,2.91467,0.0125103,1.3409,22.5346,
-0.0337104,2.3814,0.728135,-0.315224,2.0927,0.658568,-0.238118,0.345425,-2.93607,2.89972,0.011148,1.3416,22.5524,
-0.0617204,2.37417,0.725903,-0.315224,2.0927,0.658568,-0.238282,0.334625,-2.91302,2.87821,0.0106924,1.34182,22.5665,
-0.0703774,2.40034,0.735004,-0.350961,2.08548,0.658494,-0.231013,0.328958,-2.86038,2.82828,0.0159955,1.34113,22.588,
-0.14529,2.37101,0.722242,-0.386949,2.07754,0.658191,-0.231126,0.332029,-2.88632,2.85339,0.012609,1.3409,22.6047,
-0.176893,2.38963,0.731141,-0.42271,2.0688,0.657619,-0.234546,0.303331,-2.83841,2.8086,0.0183957,1.34036,22.6276,
-0.20478,2.35817,0.718356,-0.45829,2.0599,0.656899,-0.292272,0.312501,-2.95203,2.91099,0.00923109,1.34036,22.6392,
-0.237605,2.3687,0.728709,-0.493771,2.05052,0.656389,-0.234203,0.331514,-2.79774,2.76625,0.0103841,1.33957,22.6533,
-0.272546,2.36757,0.730889,-0.493771,2.05052,0.656389,-0.234459,0.302739,-2.78722,2.75843,0.0104787,1.33928,22.6686,
-0.281716,2.37952,0.735352,-0.529117,2.04033,0.656153,-0.219811,0.342049,-2.77438,2.74463,0.0109797,1.339,22.6837,
-0.329124,2.36922,0.7303,-0.543076,2.03576,0.6561,-0.227255,0.298702,-2.75583,2.72889,0.0105345,1.33804,22.7005,
-0.368408,2.34462,0.716702,-0.598449,2.01702,0.656219,-0.229883,0.273821,-2.75682,2.73168,0.010493,1.33668,22.7164,
-0.413177,2.32376,0.718438,-0.632787,2.00429,0.655857,-0.236702,0.299062,-2.77767,2.7491,0.01542,1.33576,22.7386,
-0.440428,2.33774,0.726872,-0.667114,1.99147,0.655293,-0.221391,0.302538,-2.69362,2.66824,0.01332,1.33526,22.7554,
-0.477676,2.33367,0.731008,-0.667114,1.99147,0.655293,-0.22733,0.33896,-2.6719,2.64349,0.00981808,1.33449,22.7685,
-0.527079,2.31051,0.721877,-0.700928,1.97809,0.655285,-0.235563,0.292161,-2.67144,2.64558,0.0153425,1.33426,22.7892,
-0.536899,2.32398,0.735005,-0.734284,1.96353,0.655509,-0.221417,0.334099,-2.61487,2.58884,0.00976992,1.33403,22.8017,
-0.572491,2.31297,0.732376,-0.767282,1.94831,0.65575,-0.243048,0.327142,-2.64603,2.61693,0.00962305,1.33326,22.817,
-0.626512,2.28349,0.722608,-0.800142,1.93236,0.655742,-0.23266,0.364628,-2.62994,2.59993,0.0145319,1.33201,22.8385,
-0.669934,2.26388,0.716339,-0.832457,1.91587,0.654933,-0.221003,0.274246,-2.60303,2.58137,0.0155439,1.33071,22.8581,
-0.694494,2.2466,0.71764,-0.864488,1.89856,0.654643,-0.23739,0.324578,-2.61918,2.5916,0.01349,1.33062,22.8756,
-0.714467,2.24011,0.720686,-0.864488,1.89856,0.654643,-0.230242,0.332973,-2.59875,2.57196,0.00930715,1.33014,22.8876,
-0.745292,2.23724,0.73089,-0.896046,1.88107,0.654025,-0.232556,0.34488,-2.56083,2.5338,0.00985193,1.33069,22.9007,
-0.765105,2.22762,0.727178,-0.927092,1.86303,0.653674,-0.225921,0.32779,-2.55151,2.52664,0.00946879,1.33143,22.9161,
-0.806676,2.20457,0.720782,-0.957939,1.84384,0.653241,-0.227339,0.288617,-2.54553,2.52318,0.0129628,1.33139,22.9369,
-0.803494,2.22014,0.728622,-0.987918,1.82341,0.653441,-0.223103,0.316212,-2.52797,2.50467,0.0100412,1.33155,22.9496,
-0.89187,2.14579,0.712618,-1.01764,1.80185,0.653704,-0.285784,0.331936,-2.61481,2.58051,0.0168033,1.33145,22.9748,
-0.894978,2.176,0.728702,-1.01764,1.80185,0.653704,-0.217213,0.33271,-2.4774,2.45499,0.0094018,1.33195,22.9875,
-0.927554,2.16828,0.731417,-1.03806,1.78654,0.653918,-0.223536,0.345463,-2.44041,2.4174,0.0106239,1.33224,23.0016,
-0.977014,2.11036,0.719295,-1.07556,1.75806,0.652984,-0.223294,0.3357,-2.47364,2.45038,0.0178394,1.33264,23.0276,
-1.01012,2.10011,0.720838,-1.10399,1.73544,0.653111,-0.224397,0.331545,-2.43208,2.40983,0.0103304,1.33242,23.0413,
-1.02456,2.09848,0.719646,-1.13208,1.71172,0.653706,-0.225506,0.329808,-2.42595,2.4038,0.00880098,1.33267,23.052,
-1.05803,2.08967,0.726984,-1.13208,1.71172,0.653706,-0.216718,0.315578,-2.38373,2.36421,0.00945187,1.33327,23.0685,
-1.07244,2.09557,0.737041,-1.15914,1.68755,0.653988,-0.210097,0.3571,-2.34816,2.32874,0.0126562,1.33344,23.0868,
-1.11448,2.0507,0.721425,-1.18597,1.66298,0.653922,-0.220386,0.313613,-2.33015,2.31145,0.0114233,1.33445,23.1024,
-1.15215,2.01026,0.721258,-1.21237,1.63778,0.653265,-0.228488,0.320921,-2.35373,2.33329,0.015815,1.33376,23.1252,
-1.16389,2.0158,0.72321,-1.23875,1.61224,0.65309,-0.22498,0.31682,-2.31498,2.29599,0.00922203,1.33462,23.1366,
-1.19365,2.00304,0.730663,-1.23875,1.61224,0.65309,-0.21854,0.321803,-2.28061,2.2629,0.00879192,1.33536,23.1493,
-1.22755,1.98714,0.728141,-1.28943,1.55955,0.653447,-0.221827,0.319102,-2.25281,2.23548,0.0125263,1.33628,23.1734,
-1.26131,1.95738,0.724739,-1.31367,1.53228,0.65336,-0.212342,0.30791,-2.22632,2.21092,0.0118926,1.33681,23.1897,
-1.29266,1.93264,0.725824,-1.33749,1.50457,0.653411,-0.223298,0.299805,-2.20819,2.19238,0.0189505,1.33706,23.2128,
-1.31072,1.90142,0.72131,-1.33749,1.50457,0.653411,-0.228524,0.319926,-2.22301,2.20565,0.00881147,1.33716,23.2235,
-1.32561,1.89725,0.726956,-1.36083,1.47625,0.653077,-0.225414,0.334162,-2.20052,2.18361,0.00910282,1.33756,23.2348,
-1.33968,1.89529,0.730069,-1.38378,1.44771,0.652728,-0.223405,0.329775,-2.16392,2.14826,0.00883126,1.3374,23.251,
-1.39255,1.83468,0.726382,-1.40551,1.41894,0.652597,-0.227686,0.328796,-2.16913,2.15292,0.01156,1.33896,23.2725,
-1.41789,1.80608,0.731107,-1.40551,1.41894,0.652597,-0.224863,0.314437,-2.14382,2.12889,0.0117676,1.3409,23.2877,
-1.44501,1.8035,0.734229,-1.42685,1.38944,0.652642,-0.215226,0.328769,-2.08967,2.07677,0.0139623,1.34208,23.3085,
-1.46149,1.74464,0.718066,-1.44764,1.35921,0.652911,-0.235141,0.314401,-2.14228,2.12642,0.011502,1.3424,23.322,
-1.49576,1.72705,0.721823,-1.46743,1.32875,0.652838,-0.227761,0.321485,-2.10009,2.08581,0.0195837,1.34331,23.3481,
-1.52036,1.69963,0.7186,-1.48986,1.29286,0.653222,-0.217949,0.338389,-2.07666,2.06372,0.0101655,1.34346,23.3612,
-1.53222,1.69755,0.724356,-1.50594,1.26626,0.653065,-0.21266,0.32022,-2.06066,2.04884,0.00970268,1.34384,23.3743,
-1.55615,1.63922,0.728257,-1.50594,1.26626,0.653065,-0.221867,0.325926,-2.05547,2.04284,0.0101776,1.34557,23.3872,
-1.56804,1.62672,0.724401,-1.52489,1.23483,0.652233,-0.234081,0.360117,-2.05875,2.04443,0.0108211,1.34626,23.4035,
-1.59267,1.59075,0.715655,-1.54372,1.20285,0.651347,-0.233099,0.302441,-2.05136,2.03827,0.0138431,1.34708,23.4255,
-1.61897,1.55489,0.714185,-1.56356,1.16543,0.651556,-0.228687,0.308438,-2.01953,2.00748,0.0106854,1.34714,23.4392,
-1.63838,1.57315,0.729631,-1.57724,1.13713,0.651817,-0.214326,0.367566,-1.95806,1.94917,0.00882697,1.3472,23.4517,
-1.6579,1.52212,0.727614,-1.59328,1.10387,0.651499,-0.209192,0.35169,-1.96085,1.95219,0.00984788,1.3477,23.4698,
-1.69148,1.45531,0.72102,-1.60879,1.0705,0.650532,-0.219703,0.315609,-1.95584,1.94613,0.0219231,1.34797,23.5039,
-1.70148,1.43568,0.71815,-1.62364,1.03693,0.650032,-0.223712,0.335905,-1.92669,1.91749,0.0095036,1.34768,23.5151,
-1.7099,1.3955,0.714057,-1.62364,1.03693,0.650032,-0.226349,0.323816,-1.9516,1.94142,0.00985694,1.34749,23.528,
