0212_4_uav.csv
x,y,z,r,p,y,ori,ms,dpth,t
-1.27786,-0.310711,0.420627,0.697906,3.05531,3.09957,2.44271,0,0,25.1909,
-1.275,-0.308448,0.420664,0.694443,3.05165,3.10078,2.4462,0,0,25.2061,
-1.27264,-0.306822,0.420483,0.692078,3.06493,3.08987,2.4483,0,0,25.2234,
-1.271,-0.305785,0.420921,0.700601,3.05034,3.10662,2.44027,0,0,25.2402,
-1.26933,-0.304424,0.420844,0.696222,3.05567,3.09697,2.4443,0,0,25.2571,
-1.26581,-0.301968,0.421349,0.695828,3.06467,3.0969,2.44476,0,0,25.276,
-1.26426,-0.301093,0.422381,0.689679,3.06788,3.10048,2.45104,0,0,25.2918,
-1.26081,-0.298453,0.422078,0.69436,3.0673,3.09825,2.44629,0,0,25.3111,
-1.2605,-0.298262,0.42219,0.693987,3.05804,3.10407,2.4468,0,0,25.3276,
-1.25727,-0.296027,0.422482,0.694345,3.05931,3.10122,2.44635,0,0,25.343,
-1.25557,-0.294568,0.421544,0.695182,3.06534,3.09378,2.44532,0,0,25.3583,
-1.25344,-0.293311,0.422412,0.692123,3.05509,3.09362,2.44828,0,0,25.3773,
-1.25083,-0.291672,0.422932,0.695572,3.05952,3.09721,2.44499,0,0,25.3923,
-1.24993,-0.291023,0.423108,0.695741,3.06672,3.09171,2.44472,0,0,25.409,
-1.24561,-0.287919,0.42344,0.692732,3.06226,3.10736,2.44818,0,0,25.4335,
-1.24332,-0.286121,0.423164,0.688088,3.06184,3.0896,2.45224,0,0,25.4516,
-1.24213,-0.285591,0.423542,0.697641,3.05903,3.10542,2.4432,0,0,25.4667,
-1.24102,-0.284775,0.424183,0.694202,3.06206,3.10844,2.44674,0,0,25.4792,
-1.23947,-0.28379,0.424489,0.692837,3.06857,3.10184,2.44793,0,0,25.5004,
-1.23947,-0.28379,0.424489,0.692837,3.06857,3.10184,2.44793,0,0,25.5156,
-1.23353,-0.279336,0.42422,0.687462,3.06276,3.07993,2.4526,0,0,25.5324,
-1.23353,-0.279336,0.42422,0.687462,3.06276,3.07993,2.4526,0,0,25.5488,
-1.22884,-0.276393,0.425133,0.692482,3.06284,3.1033,2.44829,0,0,25.5664,
-1.22604,-0.274397,0.425416,0.692331,3.05915,3.10739,2.44857,0,0,25.5811,
-1.22457,-0.273724,0.425334,0.691676,3.06216,3.10229,2.44906,0,0,25.5953,
-1.22358,-0.272729,0.425241,0.689108,3.06931,3.10325,2.4517,0,0,25.6078,
-1.22082,-0.271395,0.425328,0.691777,3.05259,3.0997,2.44882,0,0,25.621,
-1.22082,-0.271395,0.425328,0.691777,3.05259,3.0997,2.44882,0,0,25.6361,
-1.2157,-0.267862,0.425188,0.684852,3.05592,3.11152,2.45619,0,0,25.6556,
-1.21304,-0.265956,0.425511,0.680499,3.042,3.12179,2.46102,0,0,25.6724,
-1.21074,-0.264473,0.425896,0.692877,3.08111,3.11091,2.4482,0,0,25.6906,
-1.21009,-0.264313,0.426918,0.695759,3.08703,3.08383,2.44483,0,0,25.7037,
-1.20678,-0.262306,0.426716,0.705572,3.06851,3.08775,2.43481,0,0,25.721,
-1.20561,-0.261612,0.427082,0.700363,3.07155,3.09143,2.44015,0,0,25.7375,
-1.2023,-0.259655,0.427339,0.699978,3.06289,3.09129,2.44043,0,0,25.7554,
-1.19942,-0.25763,0.427342,0.697813,3.06786,3.09455,2.44274,0,0,25.7701,
-1.19783,-0.256731,0.427247,0.693962,3.077,3.09758,2.44676,0,0,25.7887,
-1.19625,-0.255712,0.426675,0.69565,3.06148,3.0937,2.44481,0,0,25.8066,
-1.19207,-0.252982,0.426678,0.695845,3.06825,3.10316,2.44496,0,0,25.8214,
-1.19207,-0.252982,0.426678,0.695845,3.06825,3.10316,2.44496,0,0,25.8347,
-1.18786,-0.250484,0.426932,0.690677,3.07311,3.10251,2.45014,0,0,25.8537,
-1.18432,-0.247939,0.426025,0.688728,3.06578,3.08313,2.45147,0,0,25.876,
-1.18101,-0.246158,0.426344,0.695436,3.07633,3.09361,2.44519,0,0,25.8934,
-1.18015,-0.245719,0.426334,0.694751,3.06949,3.10242,2.44604,0,0,25.9072,
-1.17939,-0.245508,0.426744,0.694243,3.06596,3.10653,2.44665,0,0,25.9214,
-1.17512,-0.243007,0.426413,0.690773,3.0666,3.10817,2.45017,0,0,25.9391,
-1.17271,-0.241801,0.42692,0.686774,3.06738,3.10879,2.45419,0,0,25.9556,
-1.16884,-0.239282,0.426231,0.692836,3.05314,3.1135,2.44829,0,0,25.9717,
-1.16645,-0.238134,0.426547,0.690969,3.06321,3.10788,2.44996,0,0,25.9898,
-1.16494,-0.237319,0.426469,0.689953,3.06009,3.10818,2.45098,0,0,26.0039,
-1.15775,-0.233068,0.426072,0.687924,3.06702,3.10775,2.45301,0,0,26.0488,
-1.15511,-0.231733,0.425661,0.680428,3.04487,3.08789,2.45965,0,0,26.0629,
-1.15291,-0.230737,0.426231,0.686467,3.0485,3.11119,2.45457,0,0,26.0781,
-1.14854,-0.227954,0.425657,0.685664,3.05232,3.11853,2.45566,0,0,26.1082,
-1.14556,-0.226365,0.425991,0.687681,3.06284,3.11148,2.45336,0,0,26.122,
-1.14556,-0.226365,0.425991,0.687681,3.06284,3.11148,2.45336,0,0,26.139,
-1.14302,-0.225095,0.425649,0.693169,3.05719,3.11205,2.4479,0,0,26.156,
-1.13848,-0.222388,0.426065,0.695011,3.06419,3.10696,2.44589,0,0,26.1721,
-1.13808,-0.222154,0.426067,0.692121,3.05998,3.10802,2.4488,0,0,26.1866,
-1.13381,-0.219473,0.426152,0.700714,3.07997,3.09499,2.43999,0,0,26.2035,
-1.12981,-0.217347,0.425988,0.698485,3.06644,3.10681,2.44243,0,0,26.2227,
-1.12642,-0.215446,0.42653,0.695842,3.06729,3.11138,2.44521,0,0,26.2411,
-1.12515,-0.21436,0.426347,0.695572,3.06444,3.11299,2.44553,0,0,26.2554,
-1.11967,-0.211288,0.426491,0.700554,3.06276,3.1101,2.44046,0,0,26.287,
-1.1169,-0.209827,0.427434,0.694788,3.05998,3.11702,2.44646,0,0,26.3049,
-1.11527,-0.208621,0.42718,0.695936,3.06027,3.10983,2.44506,0,0,26.3163,
-1.1105,-0.205455,0.427445,0.694712,3.06087,3.10925,2.44626,0,0,26.3437,
-1.10901,-0.204495,0.427567,0.693348,3.07606,3.10663,2.4476,0,0,26.36,
-1.10618,-0.202291,0.426693,0.69273,3.0531,3.09747,2.44779,0,0,26.3766,
-1.10301,-0.200535,0.427735,0.698878,3.06287,3.10889,2.44209,0,0,26.3996,
-1.10037,-0.19845,0.427391,0.694805,3.06032,3.10797,2.44612,0,0,26.4127,
-1.10037,-0.19845,0.427391,0.694805,3.06032,3.10797,2.44612,0,0,26.4298,
-1.09452,-0.194329,0.427415,0.695264,3.06987,3.10267,2.44554,0,0,26.4447,
-1.09053,-0.191631,0.427394,0.689184,3.05471,3.09932,2.45141,0,0,26.4775,
-1.08586,-0.188433,0.428494,0.692096,3.05343,3.12148,2.44935,0,0,26.5031,
-1.0811,-0.185113,0.429192,0.694469,3.06961,3.09721,2.44617,0,0,26.532,
-1.07987,-0.184575,0.429466,0.692867,3.06117,3.10128,2.44784,0,0,26.5483,
-1.07633,-0.181689,0.429995,0.686633,3.07217,3.10692,2.45429,0,0,26.5676,
-1.07542,-0.181401,0.429897,0.69041,3.06175,3.09978,2.45024,0,0,26.5835,
-1.06854,-0.176256,0.4304,0.692219,3.06427,3.103,2.44856,0,0,26.6133,
-1.0669,-0.174813,0.430416,0.692521,3.05601,3.10979,2.44846,0,0,26.6282,
-1.06008,-0.169824,0.43093,0.69508,3.0571,3.0985,2.44551,0,0,26.6788,
-1.0557,-0.166489,0.431368,0.692346,3.05921,3.10674,2.44853,0,0,26.7032,
-1.05398,-0.165237,0.431752,0.694324,3.0568,3.10449,2.44647,0,0,26.739,
-1.03641,-0.151647,0.433344,0.691248,3.07622,3.09032,2.44929,0,0,26.8365,
-1.03438,-0.149593,0.433044,0.69014,3.05432,3.08465,2.44994,0,0,26.8522,
-1.03314,-0.148545,0.433067,0.696376,3.04701,3.0908,2.44386,0,0,26.8655,
-1.02935,-0.145884,0.434203,0.68804,3.05543,3.10677,2.45283,0,0,26.887,
-1.02623,-0.14283,0.433298,0.68493,3.04939,3.12559,2.45671,0,0,26.903,
-1.02369,-0.140864,0.434125,0.690621,3.08589,3.09673,2.45018,0,0,26.921,
-1.02281,-0.140215,0.434319,0.680233,3.06771,3.11668,2.46098,0,0,26.9383,
-1.01662,-0.135218,0.434433,0.691683,3.06842,3.10314,2.44912,0,0,26.9737,
-1.01424,-0.133311,0.434851,0.684252,3.05253,3.11531,2.45694,0,0,26.9894,
-1.01273,-0.131441,0.434617,0.697574,3.07153,3.1054,2.44332,0,0,27.0049,
-1.01036,-0.129338,0.4346,0.697545,3.07753,3.11214,2.44356,0,0,27.0208,
-1.01036,-0.129338,0.4346,0.697545,3.07753,3.11214,2.44356,0,0,27.0337,
-0.996371,-0.117953,0.436429,0.699597,3.06244,3.08804,2.44071,0,0,27.1271,
-0.993501,-0.115529,0.437098,0.702212,3.06348,3.09699,2.43838,0,0,27.1492,
-0.990122,-0.112554,0.436927,0.694686,3.07193,3.0949,2.44592,0,0,27.1635,
-0.988599,-0.111488,0.437069,0.691313,3.06756,3.10077,2.44941,0,0,27.1758,
-0.985673,-0.108712,0.436996,0.691398,3.07035,3.09438,2.44917,0,0,27.191,
-0.984343,-0.10752,0.43739,0.692909,3.07912,3.08673,2.44759,0,0,27.2045,
-0.966403,-0.092747,0.43846,0.692222,3.05534,3.09017,2.44806,0,0,27.3375,
-0.96272,-0.0895965,0.439151,0.689274,3.05946,3.09661,2.45126,0,0,27.3529,
-0.961416,-0.0887859,0.439453,0.692708,3.06836,3.09096,2.44775,0,0,27.3677,
-0.958547,-0.0865693,0.4402,0.690653,3.06597,3.09217,2.44981,0,0,27.3812,
-0.957084,-0.0852407,0.440166,0.692604,3.07322,3.08515,2.44777,0,0,27.3988,
-0.953419,-0.0819356,0.440062,0.693999,3.07559,3.07046,2.4461,0,0,27.429,
-0.950628,-0.0796976,0.440643,0.68728,3.05192,3.07483,2.45244,0,0,27.445,
-0.947213,-0.0774352,0.440976,0.694094,3.06548,3.0946,2.44643,0,0,27.4602,
-0.945945,-0.0764865,0.441459,0.691829,3.06536,3.09388,2.44867,0,0,27.4739,
-0.941121,-0.0721653,0.441914,0.69287,3.07273,3.07949,2.44736,0,0,27.5016,
-0.935356,-0.0677123,0.44267,0.685448,3.07569,3.09329,2.45515,0,0,27.5419,
-0.931078,-0.0644414,0.44289,0.694169,3.06755,3.08509,2.44612,0,0,27.5759,
-0.92472,-0.0595082,0.443347,0.690128,3.0665,3.09236,2.45034,0,0,27.6182,
-0.921262,-0.0568497,0.443657,0.689182,3.06961,3.08795,2.4512,0,0,27.6541,
-0.914555,-0.0513441,0.443739,0.693053,3.0699,3.08333,2.44722,0,0,27.6886,
-0.911146,-0.0489905,0.444017,0.685336,3.06829,3.1102,2.45567,0,0,27.7083,
-0.908378,-0.0465051,0.444776,0.695783,3.07983,3.07138,2.44443,0,0,27.7218,
-0.862738,-0.0123457,0.446424,0.69312,3.06959,3.10315,2.44769,0,0,28.0143,
-0.85142,-0.00351155,0.446256,0.684504,3.06244,3.0816,2.45559,0,0,28.0856,
-0.847739,-0.00138161,0.447031,0.698088,3.0591,3.11746,2.44318,0,0,28.1023,
