0212_led_land.csv
x,y,z,st_x,st_y,st_z,r,p,y,ori,ms,dpth,t
-0.253845,2.23271,0.702185,-0.366812,2.09499,0.654815,0.00248163,0.327145,-2.52156,2.53051,0.0160768,1.53024,5.81744,
-0.270044,2.23072,0.70508,-0.380985,2.09156,0.654769,-0.0044431,0.338224,-2.52642,2.53474,0.0162146,1.53018,5.83661,
-0.297671,2.22327,0.704612,-0.409978,2.08505,0.65442,-0.00334846,0.27787,-2.51262,2.51843,0.0167177,1.53119,5.87868,
-0.325617,2.22628,0.710256,-0.453612,2.07477,0.653639,0.00530938,0.337069,-2.43354,2.44489,0.0152066,1.53058,5.91479,
-0.341839,2.21901,0.705453,-0.481522,2.06711,0.65416,-0.0139468,0.306397,-2.48366,2.48954,0.02232,1.5309,5.94068,
-0.355637,2.22639,0.710182,-0.481522,2.06711,0.65416,-0.0400843,0.256778,-2.46377,2.46458,0.0181434,1.53068,5.96151,
-0.375462,2.20598,0.707954,-0.495523,2.06307,0.654064,-0.0413595,0.260305,-2.48889,2.48939,0.0159667,1.53112,5.981,
-0.41657,2.18593,0.700346,-0.509782,2.05898,0.653813,-0.036469,0.307773,-2.48626,2.48882,0.0169263,1.53063,6.00058,
-0.423556,2.1957,0.703597,-0.523781,2.05482,0.653617,-0.0237186,0.294649,-2.44868,2.45307,0.0172606,1.5308,6.02115,
-0.421638,2.21144,0.709936,-0.530947,2.05176,0.653591,-0.019346,0.272652,-2.41136,2.41586,0.0157127,1.53018,6.04118,
-0.431603,2.20941,0.710871,-0.551276,2.04556,0.653568,-0.0117988,0.288022,-2.42246,2.42856,0.0161526,1.52967,6.05995,
-0.447424,2.21013,0.712081,-0.564996,2.04095,0.653472,0.0061951,0.298942,-2.36312,2.37318,0.0163691,1.5307,6.08051,
-0.47536,2.1937,0.709518,-0.57894,2.03603,0.653285,-0.00505674,0.31401,-2.42323,2.43167,0.0186265,1.53044,6.10205,
-0.500327,2.17627,0.707725,-0.605895,2.02575,0.653374,-0.0127472,0.329916,-2.41877,2.42695,0.0196786,1.52997,6.12404,
-0.515968,2.17168,0.706515,-0.619326,2.02045,0.653541,-0.019454,0.329784,-2.40195,2.40931,0.0172157,1.52973,6.1443,
-0.533426,2.16506,0.706248,-0.632894,2.01519,0.653536,-0.037211,0.296445,-2.42402,2.42688,0.0181234,1.52958,6.16511,
-0.542776,2.17576,0.708468,-0.646623,2.00969,0.653603,-0.018651,0.292379,-2.36012,2.36623,0.0156288,1.52931,6.18408,
-0.559546,2.16832,0.708787,-0.646623,2.00969,0.653603,-0.0271356,0.289402,-2.36348,2.36821,0.0192561,1.52873,6.20746,
-0.568116,2.17724,0.708733,-0.673488,1.99839,0.653836,-0.0228532,0.271959,-2.33517,2.34,0.0163651,1.52802,6.22828,
-0.631131,2.15027,0.709973,-0.716998,1.98179,0.653608,-0.0168011,0.286782,-2.31568,2.3223,0.0450666,1.52637,6.30868,
-0.643167,2.14967,0.713397,-0.728595,1.97667,0.653795,-0.0224787,0.306465,-2.31115,2.3181,0.0164864,1.5269,6.32873,
-0.656181,2.14621,0.711876,-0.739515,1.97142,0.653764,-0.0183337,0.242374,-2.30589,2.31022,0.0180206,1.52703,6.35129,
-0.68079,2.13932,0.711096,-0.766506,1.95866,0.65372,-0.0289897,0.259348,-2.28035,2.28441,0.0203931,1.52736,6.37551,
-0.709273,2.11172,0.703929,-0.766506,1.95866,0.65372,-0.050207,0.266256,-2.3159,2.31726,0.0160253,1.52715,6.39554,
-0.72192,2.1066,0.706527,-0.794354,1.94424,0.653825,-0.0521218,0.278668,-2.32585,2.32728,0.0169184,1.52733,6.41521,
-0.741703,2.09767,0.703969,-0.807904,1.93792,0.653507,-0.0479578,0.271473,-2.32829,2.32997,0.0185122,1.52744,6.43766,
-0.75994,2.08333,0.70263,-0.807904,1.93792,0.653507,-0.0575496,0.275501,-2.31978,2.32049,0.0154314,1.52828,6.45692,
-0.772179,2.0849,0.708017,-0.82079,1.93104,0.653665,-0.0506685,0.268244,-2.28202,2.28377,0.0158865,1.5293,6.47584,
-0.780679,2.0796,0.708487,-0.832249,1.92516,0.653613,-0.05326,0.240362,-2.30227,2.30263,0.0177667,1.52985,6.49734,
-0.782689,2.10346,0.71301,-0.847615,1.91769,0.65329,-0.0406906,0.2599,-2.2369,2.24002,0.015641,1.53062,6.51578,
-0.798722,2.09567,0.709706,-0.860375,1.91028,0.65324,-0.0338266,0.269289,-2.23412,2.23854,0.0172839,1.5311,6.53602,
-0.817432,2.08063,0.71081,-0.886117,1.89523,0.653275,-0.0524802,0.291771,-2.23402,2.23708,0.0165446,1.53184,6.55595,
-0.835831,2.06232,0.707433,-0.899026,1.88808,0.653324,-0.0515079,0.284031,-2.22215,2.22516,0.0165672,1.53363,6.57552,
-0.830153,2.07641,0.718956,-0.911855,1.88111,0.653238,-0.0477617,0.295065,-2.21475,2.21886,0.0218854,1.53369,6.5998,
-0.86197,2.06174,0.714852,-0.93702,1.86539,0.652818,-0.024196,0.271207,-2.17,2.1765,0.0192351,1.53647,6.62428,
-0.875803,2.05746,0.71451,-0.93702,1.86539,0.652818,-0.0115493,0.271864,-2.15089,2.1593,0.0186932,1.5374,6.64623,
-0.883972,2.05782,0.717778,-0.940042,1.86283,0.653025,-0.0140733,0.299633,-2.16959,2.17933,0.0153472,1.53763,6.66414,
-0.912745,2.00915,0.708825,-0.97309,1.84024,0.653071,-0.0424661,0.31005,-2.23004,2.23545,0.0157158,1.53974,6.68232,
-0.910632,2.02921,0.715469,-0.97309,1.84024,0.653071,-0.0271445,0.31126,-2.18333,2.19176,0.015461,1.54466,6.69999,
-0.931614,2.02133,0.715178,-0.985455,1.83148,0.653767,-0.0180025,0.339193,-2.13315,2.14597,0.0159931,1.54072,6.72137,
-0.938434,2.01845,0.718211,-0.997234,1.82331,0.653238,-0.0127416,0.312679,-2.1388,2.15019,0.0160513,1.54247,6.74052,
-0.963155,1.98943,0.710892,-1.02206,1.80641,0.653772,-0.0240808,0.307446,-2.15573,2.16477,0.0184569,1.54186,6.76282,
-0.976066,1.97074,0.70947,-1.02206,1.80641,0.653772,-0.0579897,0.259374,-2.19473,2.19626,0.0169356,1.54335,6.78418,
-0.986306,1.97272,0.712401,-1.04616,1.78959,0.653451,-0.0447101,0.292459,-2.17025,2.17526,0.01578,1.54295,6.80277,
-0.99899,1.96413,0.714134,-1.05783,1.7805,0.654061,-0.0299359,0.318866,-2.15802,2.16697,0.0161068,1.54376,6.82236,
-1.01003,1.96358,0.720083,-1.06882,1.7715,0.653303,0.00147679,0.338472,-2.1273,2.14339,0.0167575,1.54413,6.84266,
-1.02439,1.95369,0.721247,-1.08031,1.76287,0.653405,0.0039562,0.342181,-2.09613,2.11359,0.0156782,1.54495,6.86195,
-1.03539,1.93393,0.723428,-1.08031,1.76287,0.653405,-0.0140907,0.384645,-2.15529,2.1724,0.0163369,1.54613,6.88081,
-1.04418,1.93587,0.722246,-1.08925,1.75429,0.653617,0.00100803,0.365937,-2.10351,2.12271,0.0158803,1.54566,6.89931,
-1.05837,1.9236,0.722079,-1.08925,1.75429,0.653617,0.00650108,0.330342,-2.09255,2.10934,0.0151553,1.54589,6.91664,
-1.06192,1.943,0.731779,-1.11406,1.7337,0.653468,0.0162155,0.369776,-2.02652,2.0507,0.0166974,1.54569,6.93676,
-1.08299,1.91899,0.729309,-1.11406,1.7337,0.653468,-0.00166362,0.348191,-2.06113,2.07892,0.0149376,1.54514,6.95475,
-1.09173,1.91256,0.728922,-1.12153,1.72663,0.653091,-0.00963581,0.337304,-2.07718,2.09225,0.0168948,1.54574,6.97493,
-1.10587,1.91065,0.730926,-1.14098,1.71019,0.653416,-0.00442975,0.321035,-2.02819,2.04345,0.0175507,1.54458,6.99616,
-1.10601,1.93014,0.733635,-1.14098,1.71019,0.653416,-0.00100032,0.268377,-2.01856,2.02971,0.0182092,1.54448,7.01691,
-1.15044,1.8814,0.730691,-1.16551,1.68916,0.653721,-0.0181672,0.300389,-2.0262,2.03756,0.024924,1.5435,7.05788,
-1.17884,1.84705,0.726289,-1.18408,1.67237,0.653227,-0.0275753,0.309104,-2.02507,2.03582,0.0233405,1.54306,7.09268,
-1.1886,1.83827,0.725468,-1.19993,1.65834,0.653352,-0.0433444,0.24117,-1.99898,2.0034,0.0185218,1.54322,7.11456,
-1.20278,1.81111,0.729296,-1.22554,1.63551,0.653006,-0.0503357,0.323722,-2.01443,2.02322,0.0193501,1.54363,7.13744,
-1.21747,1.81179,0.725299,-1.23553,1.62486,0.652285,-0.059633,0.29529,-2.01253,2.01809,0.0170264,1.54348,7.15815,
-1.22545,1.81266,0.724739,-1.23553,1.62486,0.652285,-0.0555369,0.272509,-1.98846,1.99346,0.0183868,1.54378,7.18019,
-1.24331,1.78922,0.727341,-1.26465,1.59227,0.652716,-0.0638427,0.265173,-1.98904,1.99266,0.0172515,1.54448,7.2018,
-1.26022,1.78037,0.729806,-1.26465,1.59227,0.652716,-0.0549709,0.298285,-1.976,1.98295,0.0187891,1.54529,7.22372,
-1.27382,1.77192,0.726264,-1.27193,1.58458,0.652633,-0.0482621,0.263572,-1.94214,1.94804,0.0179532,1.54575,7.24631,
-1.28261,1.76419,0.72682,-1.28511,1.57056,0.652263,-0.0549063,0.304871,-1.95788,1.96563,0.0155149,1.54567,7.26497,
-1.29593,1.75404,0.728655,-1.28588,1.56882,0.652263,-0.037097,0.316873,-1.91056,1.92263,0.0189946,1.5465,7.28682,
-1.30516,1.7482,0.731378,-1.30468,1.54904,0.652222,-0.0390014,0.323089,-1.92142,1.93359,0.0155621,1.54814,7.30647,
-1.31608,1.72938,0.72522,-1.32478,1.52717,0.652388,-0.0527192,0.289687,-1.93227,1.9396,0.015517,1.54961,7.32521,
-1.34456,1.68504,0.716787,-1.34566,1.50277,0.652621,-0.0649447,0.267846,-1.93975,1.94407,0.0167387,1.55233,7.37364,
-1.37052,1.67786,0.72039,-1.36314,1.48149,0.652386,-0.0664071,0.24578,-1.88554,1.88915,0.0310216,1.55446,7.42912,
-1.38117,1.64747,0.715887,-1.37204,1.46999,0.652308,-0.0690797,0.247902,-1.88574,1.8892,0.0170376,1.5557,7.44981,
-1.38851,1.66443,0.727772,-1.39055,1.44679,0.652358,-0.0220705,0.284264,-1.86546,1.87735,0.0160139,1.55717,7.46857,
-1.39902,1.65032,0.727657,-1.39996,1.43491,0.652253,-0.00415195,0.322757,-1.83869,1.85777,0.0181787,1.55821,7.48944,
-1.40809,1.62776,0.722666,-1.4086,1.42327,0.651926,-0.00328148,0.297379,-1.82959,1.84604,0.017777,1.55966,7.51155,
-1.42172,1.62125,0.726464,-1.4086,1.42327,0.651926,-0.0200249,0.299448,-1.82212,1.83653,0.0168977,1.56089,7.53164,
-1.42729,1.61517,0.724654,-1.41709,1.41168,0.651861,-0.00944319,0.281324,-1.83131,1.84515,0.0171571,1.56152,7.55281,
-1.43683,1.61746,0.729451,-1.42978,1.39474,0.651763,0.00149031,0.288848,-1.80078,1.81745,0.0159423,1.5626,7.57115,
-1.44412,1.57217,0.720211,-1.44385,1.37634,0.651574,-0.0225849,0.298392,-1.88144,1.89435,0.0172253,1.56442,7.59196,
-1.453,1.57793,0.721301,-1.44385,1.37634,0.651574,0.0002974,0.285182,-1.80167,1.81774,0.0174809,1.5645,7.61894,
-1.46871,1.54514,0.714018,-1.45836,1.35574,0.651409,-0.0104965,0.220474,-1.80102,1.80949,0.0171077,1.56677,7.64353,
-1.48075,1.52982,0.71755,-1.47314,1.33322,0.651358,-0.0161389,0.277578,-1.79005,1.80325,0.0164666,1.56734,7.66396,
-1.49321,1.53273,0.723091,-1.47314,1.33322,0.651358,0.00645526,0.317463,-1.75432,1.77616,0.0173309,1.56852,7.68393,
-1.50441,1.52873,0.724621,-1.48822,1.31027,0.651015,0.0130628,0.328808,-1.72678,1.75188,0.0162423,1.56928,7.70248,
-1.5139,1.51921,0.726982,-1.48822,1.31027,0.651015,0.0115731,0.334613,-1.73325,1.75878,0.0201068,1.57058,7.72755,
-1.51934,1.48807,0.722125,-1.50088,1.29063,0.650751,-0.00428138,0.309988,-1.70844,1.72858,0.0154314,1.5718,7.74624,
-1.52998,1.50672,0.731881,-1.50984,1.27784,0.650495,0.00287951,0.320426,-1.66436,1.68802,0.0171416,1.57175,7.76573,
-1.53474,1.46209,0.713568,-1.52536,1.25203,0.650402,-0.0189686,0.286763,-1.74108,1.7557,0.0166848,1.57133,7.78593,
-1.5454,1.46724,0.72206,-1.53158,1.23935,0.650844,-0.0266187,0.299377,-1.72945,1.74466,0.0166631,1.57213,7.80805,
-1.54967,1.4677,0.725717,-1.53158,1.23935,0.650844,-0.0154869,0.300096,-1.6938,1.71133,0.0182021,1.57245,7.82947,
-1.56192,1.44215,0.725127,-1.53856,1.22683,0.651169,-0.0338181,0.291081,-1.71238,1.72602,0.0167475,1.57241,7.84838,
-1.57283,1.43295,0.724981,-1.55024,1.2049,0.650953,-0.0215451,0.282727,-1.68316,1.698,0.020694,1.57257,7.87192,
-1.58594,1.39715,0.721461,-1.55726,1.19024,0.65093,-0.0173256,0.301413,-1.68926,1.70679,0.0165625,1.57295,7.89079,
-1.59808,1.39994,0.727466,-1.56414,1.17552,0.65095,-0.00683126,0.331009,-1.65066,1.67464,0.0158899,1.57341,7.91085,
-1.60898,1.39658,0.727809,-1.57037,1.16254,0.650858,-0.00557942,0.281603,-1.61082,1.62898,0.0178046,1.57382,7.93182,
-1.60938,1.34768,0.720037,-1.57037,1.16254,0.650858,-0.0197217,0.317629,-1.67764,1.69713,0.0165088,1.57415,7.95093,
-1.61473,1.31863,0.719935,-1.57703,1.14926,0.650868,-0.0291136,0.34813,-1.71677,1.73791,0.0178902,1.57426,7.97228,
-1.63512,1.35613,0.725901,-1.58312,1.13589,0.65084,-0.0151687,0.277898,-1.61436,1.6307,0.016355,1.57451,7.99203,
-1.64291,1.35797,0.731679,-1.59403,1.11088,0.650813,-0.00803608,0.298499,-1.58078,1.60151,0.0152121,1.57494,8.00983,
-1.64911,1.3273,0.72797,-1.60085,1.09541,0.650697,-0.00781491,0.301889,-1.58239,1.6036,0.0169172,1.57509,8.0303,
-1.65667,1.31463,0.726086,-1.60654,1.08196,0.650304,-0.0252041,0.283289,-1.60277,1.6187,0.0152764,1.57511,8.04818,
-1.66572,1.29575,0.725571,-1.61213,1.06845,0.650193,-0.0280518,0.284048,-1.57525,1.59146,0.0157642,1.5743,8.06655,
-1.67987,1.3086,0.727847,-1.61818,1.0547,0.650428,-0.0309629,0.243974,-1.52561,1.5376,0.0175724,1.57311,8.0863,
-1.68541,1.28753,0.725406,-1.62355,1.04139,0.650311,-0.0267102,0.25078,-1.54111,1.55408,0.0171685,1.57226,8.10648,
-1.67961,1.24209,0.720603,-1.62355,1.04139,0.650311,-0.0461448,0.324715,-1.60622,1.62458,0.0171893,1.57193,8.12731,
-1.69595,1.24973,0.726591,-1.6348,1.01452,0.650524,-0.037711,0.319163,-1.56324,1.58311,0.0165207,1.57152,8.14767,
-1.69751,1.22335,0.721415,-1.6348,1.01452,0.650524,-0.0422609,0.321385,-1.55554,1.57529,0.0164962,1.57079,8.16675,
-1.71448,1.23649,0.725764,-1.64026,0.999141,0.650523,-0.0246121,0.234862,-1.5139,1.52572,0.0168853,1.57013,8.18638,
-1.72399,1.23727,0.728263,-1.64994,0.976034,0.650447,-0.0203622,0.225408,-1.48298,1.49462,0.0160134,1.56989,8.20668,
-1.73448,1.22073,0.730316,-1.64994,0.976034,0.650447,-0.0220367,0.269771,-1.44769,1.46532,0.0181217,1.56948,8.22843,
-1.73584,1.17526,0.725198,-1.66002,0.948686,0.650595,-0.0312672,0.303506,-1.49647,1.51666,0.0160084,1.56867,8.2468,
-1.74081,1.15611,0.724717,-1.66002,0.948686,0.650595,-0.0276813,0.328675,-1.50118,1.52558,0.0161114,1.56844,8.26648,
-1.75195,1.15534,0.724646,-1.66303,0.938756,0.650499,-0.017832,0.271423,-1.45847,1.47663,0.0176427,1.56791,8.28734,
-1.75109,1.12112,0.717378,-1.6719,0.911041,0.650483,-0.0333094,0.257203,-1.4995,1.51321,0.0158236,1.56693,8.30982,
-1.75671,1.10106,0.717582,-1.6719,0.911041,0.650483,-0.0300389,0.3033,-1.5169,1.53672,0.0145237,1.56664,8.32665,
-1.76988,1.10608,0.7224,-1.68164,0.87716,0.650065,-0.00933171,0.274828,-1.46938,1.48889,0.0151851,1.56688,8.34424,
-1.77137,1.07625,0.727131,-1.68164,0.87716,0.650065,-0.0124864,0.332939,-1.46332,1.49186,0.0158184,1.56711,8.36313,
-1.77686,1.0631,0.728639,-1.6854,0.863449,0.649785,-0.0273594,0.309419,-1.46611,1.48849,0.0175748,1.56744,8.38275,
-1.78155,1.03838,0.720208,-1.69294,0.835078,0.649108,-0.0311668,0.343632,-1.45008,1.47804,0.0170944,1.56653,8.40222,
-1.78539,1.02241,0.717635,-1.69623,0.820579,0.649579,-0.0453045,0.296827,-1.49061,1.5082,0.017854,1.56589,8.42394,
-1.78907,0.995808,0.71645,-1.70068,0.805943,0.65019,-0.0433902,0.309233,-1.46502,1.48527,0.0162718,1.56512,8.44447,
-1.80614,1.0133,0.730413,-1.70068,0.805943,0.65019,-0.0353472,0.319947,-1.39643,1.42141,0.0158079,1.56485,8.46359,
-1.81277,1.00472,0.727788,-1.70441,0.792087,0.649956,-0.0206258,0.274746,-1.41109,1.4304,0.0147913,1.56488,8.48094,
-1.81255,0.979196,0.724881,-1.70635,0.783953,0.649817,-0.0194503,0.273952,-1.4205,1.43963,0.0171645,1.56478,8.50088,
-1.81996,0.955362,0.725212,-1.71188,0.763206,0.64932,0.00317302,0.330067,-1.36643,1.4,0.0170193,1.56437,8.52214,
-1.81018,0.917361,0.712108,-1.71897,0.732037,0.649157,-0.0153889,0.27828,-1.41084,1.43135,0.016427,1.5643,8.54177,
-1.82422,0.921244,0.726366,-1.72174,0.719483,0.649086,-0.00519455,0.318964,-1.3757,1.4055,0.0215757,1.56475,8.56688,
-1.82669,0.90136,0.721242,-1.72174,0.719483,0.649086,-0.0197939,0.260072,-1.36927,1.3874,0.0150487,1.56459,8.58399,
-1.83081,0.89023,0.728432,-1.72664,0.690471,0.649053,-0.0264629,0.313316,-1.38684,1.4122,0.0169232,1.56324,8.60316,
-1.83089,0.86723,0.720738,-1.72818,0.681975,0.649309,-0.0450334,0.284106,-1.38305,1.40151,0.0162959,1.56262,8.62516,
-1.85507,0.884757,0.733592,-1.73182,0.661215,0.649644,-0.0044022,0.257935,-1.30042,1.32155,0.0158765,1.56237,8.64506,
